DRD,"DRDGOLD Limited American Depositary Shares",https://www.nyse.com/quote/XNYS:DRD,0.41,13.50,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=DRD&f=opdr1y&e=.csv"",""open"":""2.94"",""close"":""2.86"",""dividend"":""0.41"",""div paydate"":""10\/27\/2016"",""div yield"":""13.50""}",4520.3969128997
ECT,"ECA Marcellus Trust I Common Units of Beneficial &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:ECT,0.34,16.00,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=ECT&f=opdr1y&e=.csv"",""open"":""2.15"",""close"":""2.05"",""dividend"":""0.34"",""div paydate"":""5\/31\/2017"",""div yield"":""16.00""}",3748.6218302095
EFC,"Ellington Financial LLC representing Limitied Liability &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:EFC,1.80,10.85,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=EFC&f=opdr1y&e=.csv"",""open"":""16.56"",""close"":""16.67"",""dividend"":""1.80"",""div paydate"":""6\/15\/2017"",""div yield"":""10.85""}",19845.644983462
EURN,"Euronav NV Ordinary Shares",https://www.nyse.com/quote/XNYS:EURN,1.37,18.90,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=EURN&f=opdr1y&e=.csv"",""open"":""7.65"",""close"":""7.65"",""dividend"":""1.37"",""div paydate"":""5\/31\/2017"",""div yield"":""18.90""}",15104.740904079
FRO,"Frontline Ltd. Ordinary Shares",https://www.nyse.com/quote/XNYS:FRO,0.60,10.36,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=FRO&f=opdr1y&e=.csv"",""open"":""5.76"",""close"":""5.81"",""dividend"":""0.60"",""div paydate"":""3\/23\/2017"",""div yield"":""10.36""}",6615.2149944873
FTF,"Franklin Limited Duration Income Trust of Beneficial &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XASE:FTF,1.29,10.85,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=FTF&f=opdr1y&e=.csv"",""open"":""12.05"",""close"":""12.04"",""dividend"":""1.29"",""div paydate"":""6\/15\/2017"",""div yield"":""10.85""}",14222.712238148
GGN,"GAMCO Global Gold, Natural Resources &amp;amp; Income Trust",https://www.nyse.com/quote/XASE:GGN,0.60,10.54,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=GGN&f=opdr1y&e=.csv"",""open"":""5.72"",""close"":""5.72"",""dividend"":""0.60"",""div paydate"":""6\/23\/2017"",""div yield"":""10.54""}",6615.2149944873
GRF,"Eagle Capital Growth Fund, Inc.",https://www.nyse.com/quote/XASE:GRF,1.190,15.390,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=GRF&f=opdr1y&e=.csv"",""open"":""7.810"",""close"":""7.808"",""dividend"":""1.190"",""div paydate"":""12\/28\/2016"",""div yield"":""15.390""}",13120.176405733
HMLP,"Hoegh LNG Partners LP Common Units representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:HMLP,6.88,36.02,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=HMLP&f=opdr1y&e=.csv"",""open"":""19.15"",""close"":""19.20"",""dividend"":""6.88"",""div paydate"":""5\/15\/2017"",""div yield"":""36.02""}",75854.465270121
IAF,"Aberdeen Australia Equity Fund Inc",https://www.nyse.com/quote/XASE:IAF,0.64,10.53,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=IAF&f=opdr1y&e=.csv"",""open"":""6.06"",""close"":""6.04"",""dividend"":""0.64"",""div paydate"":""3\/27\/2017"",""div yield"":""10.53""}",7056.2293274531
IFN,"India Fund, Inc. (The)",https://www.nyse.com/quote/XNYS:IFN,3.13,11.60,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=IFN&f=opdr1y&e=.csv"",""open"":""27.31"",""close"":""27.26"",""dividend"":""3.13"",""div paydate"":""1\/11\/2017"",""div yield"":""11.60""}",34509.371554576
