FTR,"Frontier Communications Corporation",https://www.nyse.com/quote/FTR,https://www.sec.gov/cgi-bin/browse-edgar?company=Frontier+Communications+Corporation&owner=exclude&action=getcompany,N/A,12.21,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=FTR&f=opdr1ye&e=.csv"",""open"":""1.32"",""close"":""1.30"",""dividend"":""N\/A"",""div paydate"":""6\/30\/2017"",""div yield"":""12.21"",""eps"":0}",0,-1,0
FTRPR,"Frontier Communications Corporation",https://www.nyse.com/quote/FTRPR,https://www.sec.gov/cgi-bin/browse-edgar?company=Frontier+Communications+Corporation&owner=exclude&action=getcompany,N/A,32.81,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=FTRPR&f=opdr1ye&e=.csv"",""open"":""35.20"",""close"":""34.89"",""dividend"":""N\/A"",""div paydate"":""6\/30\/2017"",""div yield"":""32.81"",""eps"":0}",0,-1,0
GARS,"Garrison Capital Inc.",https://www.nyse.com/quote/GARS,https://www.sec.gov/cgi-bin/browse-edgar?company=Garrison+Capital+Inc.&owner=exclude&action=getcompany,N/A,12.83,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=GARS&f=opdr1ye&e=.csv"",""open"":""8.81"",""close"":""8.82"",""dividend"":""N\/A"",""div paydate"":""6\/23\/2017"",""div yield"":""12.83"",""eps"":0}",0,-1,0
GMLP,"Golar LNG Partners LP",https://www.nyse.com/quote/GMLP,https://www.sec.gov/cgi-bin/browse-edgar?company=Golar+LNG+Partners+LP&owner=exclude&action=getcompany,2.31,11.69,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=GMLP&f=opdr1ye&e=.csv"",""open"":""19.81"",""close"":""19.89"",""dividend"":""2.31"",""div paydate"":""5\/12\/2017"",""div yield"":""11.69"",""eps"":""2.73""}",2.73,0.84615384615385,95100.864553314
HCAP,"Harvest Capital Credit Corporation",https://www.nyse.com/quote/HCAP,https://www.sec.gov/cgi-bin/browse-edgar?company=Harvest+Capital+Credit+Corporation&owner=exclude&action=getcompany,1.35,10.27,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=HCAP&f=opdr1ye&e=.csv"",""open"":""13.06"",""close"":""13.09"",""dividend"":""1.35"",""div paydate"":""6\/22\/2017"",""div yield"":""10.27"",""eps"":""1.35""}",1.35,1,55578.427336352
HRZN,"Horizon Technology Finance Corporation",https://www.nyse.com/quote/HRZN,https://www.sec.gov/cgi-bin/browse-edgar?company=Horizon+Technology+Finance+Corporation&owner=exclude&action=getcompany,N/A,10.91,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=HRZN&f=opdr1ye&e=.csv"",""open"":""11.14"",""close"":""11.11"",""dividend"":""N\/A"",""div paydate"":""7\/14\/2017"",""div yield"":""10.91"",""eps"":0}",0,-1,0
HSON,"Hudson Global, Inc.",https://www.nyse.com/quote/HSON,https://www.sec.gov/cgi-bin/browse-edgar?company=Hudson+Global%2C+Inc.&owner=exclude&action=getcompany,N/A,13.99,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=HSON&f=opdr1ye&e=.csv"",""open"":""1.39"",""close"":""1.39"",""dividend"":""N\/A"",""div paydate"":""6\/24\/2016"",""div yield"":""13.99"",""eps"":0}",0,-1,0
IEP,"Icahn Enterprises L.P.",https://www.nyse.com/quote/IEP,https://www.sec.gov/cgi-bin/browse-edgar?company=Icahn+Enterprises+L.P.&owner=exclude&action=getcompany,N/A,12.58,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=IEP&f=opdr1ye&e=.csv"",""open"":""48.50"",""close"":""48.49"",""dividend"":""N\/A"",""div paydate"":""6\/14\/2017"",""div yield"":""12.58"",""eps"":0}",0,-1,0
KCAP,"KCAP Financial, Inc.",https://www.nyse.com/quote/KCAP,https://www.sec.gov/cgi-bin/browse-edgar?company=KCAP+Financial%2C+Inc.&owner=exclude&action=getcompany,0.48,14.16,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=KCAP&f=opdr1ye&e=.csv"",""open"":""3.39"",""close"":""3.39"",""dividend"":""0.48"",""div paydate"":""4\/28\/2017"",""div yield"":""14.16"",""eps"":""0.16""}",0.16,3,19761.218608481
MMLP,"Martin Midstream Partners L.P.",https://www.nyse.com/quote/MMLP,https://www.sec.gov/cgi-bin/browse-edgar?company=Martin+Midstream+Partners+L.P.&owner=exclude&action=getcompany,2.00,10.99,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MMLP&f=opdr1ye&e=.csv"",""open"":""18.30"",""close"":""18.30"",""dividend"":""2.00"",""div paydate"":""5\/15\/2017"",""div yield"":""10.99"",""eps"":""0.69""}",0.69,2.8985507246377,82338.41086867
MTBCP,"Medical Transcription Billing, Corp.",https://www.nyse.com/quote/MTBCP,https://www.sec.gov/cgi-bin/browse-edgar?company=Medical+Transcription+Billing%2C+Corp.&owner=exclude&action=getcompany,N/A,10.86,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MTBCP&f=opdr1ye&e=.csv"",""open"":""25.20"",""close"":""25.16"",""dividend"":""N\/A"",""div paydate"":""7\/17\/2017"",""div yield"":""10.86"",""eps"":0}",0,-1,0
MNDO,"MIND C.T.I. Ltd.",https://www.nyse.com/quote/MNDO,https://www.sec.gov/cgi-bin/browse-edgar?company=MIND+C.T.I.+Ltd.&owner=exclude&action=getcompany,0.32,12.85,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MNDO&f=opdr1ye&e=.csv"",""open"":""2.48"",""close"":""2.49"",""dividend"":""0.32"",""div paydate"":""3\/23\/2017"",""div yield"":""12.85"",""eps"":""0.20""}",0.20,1.6,13174.145738987
