AI,"Arlington Asset Investment Corp Class A (new)",https://www.nyse.com/quote/XNYS:AI,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=AI&f=opdr1y&e=.csv"",""open"":""14.43"",""close"":""14.40"",""dividend"":""2.50"",""div paydate"":""4\/28\/2017"",""div yield"":""17.41""}"
AMID,"American Midstream Partners, LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:AMID,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=AMID&f=opdr1y&e=.csv"",""open"":""12.45"",""close"":""12.45"",""dividend"":""1.65"",""div paydate"":""5\/12\/2017"",""div yield"":""13.69""}"
ARCX,"Arc Logistic Partners LP Common Units representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:ARCX,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=ARCX&f=opdr1y&e=.csv"",""open"":""14.12"",""close"":""14.10"",""dividend"":""1.76"",""div paydate"":""5\/15\/2017"",""div yield"":""12.42""}"
BPT,"BP Prudhoe Bay Royalty Trust",https://www.nyse.com/quote/XNYS:BPT,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=BPT&f=opdr1y&e=.csv"",""open"":""21.15"",""close"":""20.95"",""dividend"":""4.39"",""div paydate"":""4\/20\/2017"",""div yield"":""21.43""}"
BX,"The Blackstone Group LP Common Units Representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:BX,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=BX&f=opdr1y&e=.csv"",""open"":""33.49"",""close"":""33.45"",""dividend"":""3.48"",""div paydate"":""5\/8\/2017"",""div yield"":""10.58""}"
CAPL,"CrossAmerica Partners LP Common Units representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:CAPL,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CAPL&f=opdr1y&e=.csv"",""open"":""24.40"",""close"":""24.41"",""dividend"":""2.47"",""div paydate"":""5\/15\/2017"",""div yield"":""10.28""}"
CELP,"Cypress Energy Partners, LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:CELP,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CELP&f=opdr1y&e=.csv"",""open"":""7.16"",""close"":""7.07"",""dividend"":""0.84"",""div paydate"":""5\/15\/2017"",""div yield"":""11.98""}"
CEQP,"Crestwood Equity Partners LP",https://www.nyse.com/quote/XNYS:CEQP,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CEQP&f=opdr1y&e=.csv"",""open"":""23.30"",""close"":""23.40"",""dividend"":""2.40"",""div paydate"":""5\/15\/2017"",""div yield"":""10.48""}"
CHKR,"Chesapeake Granite Wash Trust Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:CHKR,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CHKR&f=opdr1y&e=.csv"",""open"":""2.50"",""close"":""2.45"",""dividend"":""0.40"",""div paydate"":""6\/1\/2017"",""div yield"":""16.75""}"
CLM,"Cornerstone Strategic Value Fund, Inc. New",https://www.nyse.com/quote/XASE:CLM,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CLM&f=opdr1y&e=.csv"",""open"":""16.95"",""close"":""16.94"",""dividend"":""2.79"",""div paydate"":""6\/30\/2017"",""div yield"":""16.54""}"
CNXC,"CNX Coal Resources LP Common Units representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:CNXC,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CNXC&f=opdr1y&e=.csv"",""open"":""16.30"",""close"":""16.15"",""dividend"":""2.05"",""div paydate"":""5\/15\/2017"",""div yield"":""13.31""}"
CRF,"Cornerstone Total Return Fund, Inc. (The)",https://www.nyse.com/quote/XASE:CRF,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CRF&f=opdr1y&e=.csv"",""open"":""16.84"",""close"":""16.85"",""dividend"":""2.75"",""div paydate"":""6\/30\/2017"",""div yield"":""16.29""}"
CVI,"CVR Energy Inc.",https://www.nyse.com/quote/XNYS:CVI,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=CVI&f=opdr1y&e=.csv"",""open"":""20.38"",""close"":""20.46"",""dividend"":""2.00"",""div paydate"":""5\/15\/2017"",""div yield"":""10.02""}"
DLNG,"Dynagas LNG Partners LP Common Units",https://www.nyse.com/quote/XNYS:DLNG,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=DLNG&f=opdr1y&e=.csv"",""open"":""14.66"",""close"":""14.68"",""dividend"":""1.69"",""div paydate"":""4\/28\/2017"",""div yield"":""12.17""}"
DRD,"DRDGOLD Limited American Depositary Shares",https://www.nyse.com/quote/XNYS:DRD,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=DRD&f=opdr1y&e=.csv"",""open"":""2.94"",""close"":""2.86"",""dividend"":""0.41"",""div paydate"":""10\/27\/2016"",""div yield"":""13.50""}"
ECT,"ECA Marcellus Trust I Common Units of Beneficial &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:ECT,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=ECT&f=opdr1y&e=.csv"",""open"":""2.15"",""close"":""2.05"",""dividend"":""0.34"",""div paydate"":""5\/31\/2017"",""div yield"":""16.00""}"
EFC,"Ellington Financial LLC representing Limitied Liability &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:EFC,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=EFC&f=opdr1y&e=.csv"",""open"":""16.56"",""close"":""16.67"",""dividend"":""1.80"",""div paydate"":""6\/15\/2017"",""div yield"":""10.85""}"
