DLNG,"Dynagas LNG Partners LP Common Units",https://www.nyse.com/quote/XNYS:DLNG,1.69,12.17,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=DLNG&f=opdr1ye&e=.csv"",""open"":""14.66"",""close"":""14.68"",""dividend"":""1.69"",""div paydate"":""4\/28\/2017"",""div yield"":""12.17"",""eps"":""1.69""}",1.69,1,26443.43608199
DRD,"DRDGOLD Limited American Depositary Shares",https://www.nyse.com/quote/XNYS:DRD,0.41,13.50,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=DRD&f=opdr1ye&e=.csv"",""open"":""2.94"",""close"":""2.86"",""dividend"":""0.41"",""div paydate"":""10\/27\/2016"",""div yield"":""13.50"",""eps"":""0.08""}",0.08,5.125,6415.2714755124
ECT,"ECA Marcellus Trust I Common Units of Beneficial &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:ECT,0.34,16.00,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=ECT&f=opdr1ye&e=.csv"",""open"":""2.15"",""close"":""2.05"",""dividend"":""0.34"",""div paydate"":""5\/31\/2017"",""div yield"":""16.00"",""eps"":""0.26""}",0.26,1.3076923076923,5319.9812235957
EFC,"Ellington Financial LLC representing Limitied Liability &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:EFC,1.80,10.85,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=EFC&f=opdr1ye&e=.csv"",""open"":""16.56"",""close"":""16.67"",""dividend"":""1.80"",""div paydate"":""6\/15\/2017"",""div yield"":""10.85"",""eps"":""0.68""}",0.68,2.6470588235294,28164.606477859
EURN,"Euronav NV Ordinary Shares",https://www.nyse.com/quote/XNYS:EURN,1.37,18.90,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=EURN&f=opdr1ye&e=.csv"",""open"":""7.65"",""close"":""7.65"",""dividend"":""1.37"",""div paydate"":""5\/31\/2017"",""div yield"":""18.90"",""eps"":""0.79""}",0.79,1.7341772151899,21436.394930371
FRO,"Frontline Ltd. Ordinary Shares",https://www.nyse.com/quote/XNYS:FRO,0.60,10.36,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=FRO&f=opdr1ye&e=.csv"",""open"":""5.76"",""close"":""5.81"",""dividend"":""0.60"",""div paydate"":""3\/23\/2017"",""div yield"":""10.36"",""eps"":""0.41""}",0.41,1.4634146341463,9388.2021592865
FTF,"Franklin Limited Duration Income Trust of Beneficial &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XASE:FTF,1.29,10.85,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=FTF&f=opdr1ye&e=.csv"",""open"":""12.05"",""close"":""12.04"",""dividend"":""1.29"",""div paydate"":""6\/15\/2017"",""div yield"":""10.85"",""eps"":""1.00""}",1.00,1.29,20184.634642466
GGN,"GAMCO Global Gold, Natural Resources &amp;amp; Income Trust",https://www.nyse.com/quote/XASE:GGN,0.60,10.54,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=GGN&f=opdr1ye&e=.csv"",""open"":""5.72"",""close"":""5.72"",""dividend"":""0.60"",""div paydate"":""6\/23\/2017"",""div yield"":""10.54"",""eps"":""0.93""}",0.93,0.64516129032258,9388.2021592865
GRF,"Eagle Capital Growth Fund, Inc.",https://www.nyse.com/quote/XASE:GRF,1.190,15.390,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=GRF&f=opdr1ye&e=.csv"",""open"":""7.810"",""close"":""7.808"",""dividend"":""1.190"",""div paydate"":""12\/28\/2016"",""div yield"":""15.390"",""eps"":""0.911""}",0.911,1.3062568605928,18619.934282585
HMLP,"Hoegh LNG Partners LP Common Units representing &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:HMLP,6.88,36.02,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=HMLP&f=opdr1ye&e=.csv"",""open"":""19.15"",""close"":""19.20"",""dividend"":""6.88"",""div paydate"":""5\/15\/2017"",""div yield"":""36.02"",""eps"":""1.97""}",1.97,3.492385786802,107651.38475982
IAF,"Aberdeen Australia Equity Fund Inc",https://www.nyse.com/quote/XASE:IAF,0.64,10.53,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=IAF&f=opdr1ye&e=.csv"",""open"":""6.06"",""close"":""6.04"",""dividend"":""0.64"",""div paydate"":""3\/27\/2017"",""div yield"":""10.53"",""eps"":""0.54""}",0.54,1.1851851851852,10014.082303239
IFN,"India Fund, Inc. (The)",https://www.nyse.com/quote/XNYS:IFN,N/A,11.60,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=IFN&f=opdr1ye&e=.csv"",""open"":""27.31"",""close"":""27.26"",""dividend"":""N\/A"",""div paydate"":""1\/11\/2017"",""div yield"":""11.60"",""eps"":0}",0,-1,0
MCC,"Medley Capital Corporation",https://www.nyse.com/quote/XNYS:MCC,0.64,10.51,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MCC&f=opdr1ye&e=.csv"",""open"":""6.08"",""close"":""6.13"",""dividend"":""0.64"",""div paydate"":""6\/23\/2017"",""div yield"":""10.51"",""eps"":""0.09""}",0.09,7.1111111111111,10014.082303239
MDLY,"Medley Management Inc. Class A",https://www.nyse.com/quote/XNYS:MDLY,0.80,13.79,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MDLY&f=opdr1ye&e=.csv"",""open"":""5.75"",""close"":""5.75"",""dividend"":""0.80"",""div paydate"":""5\/31\/2017"",""div yield"":""13.79"",""eps"":""0.09""}",0.09,8.8888888888889,12517.602879049
MTR,"Mesa Royalty Trust",https://www.nyse.com/quote/XNYS:MTR,1.35,10.91,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MTR&f=opdr1ye&e=.csv"",""open"":""13.25"",""close"":""13.00"",""dividend"":""1.35"",""div paydate"":""7\/31\/2017"",""div yield"":""10.91"",""eps"":""1.03""}",1.03,1.3106796116505,21123.454858395
MVO,"MV Oil Trust Units of Beneficial Interests",https://www.nyse.com/quote/XNYS:MVO,1.00,16.50,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=MVO&f=opdr1ye&e=.csv"",""open"":""5.94"",""close"":""5.94"",""dividend"":""1.00"",""div paydate"":""4\/25\/2017"",""div yield"":""16.50"",""eps"":""0.42""}",0.42,2.3809523809524,15647.003598811
NAP,"Navios Maritime Midstream Partners LP Common Units &lt;b&gt;...&lt;/b&gt;",https://www.nyse.com/quote/XNYS:NAP,1.69,16.41,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NAP&f=opdr1ye&e=.csv"",""open"":""10.42"",""close"":""10.45"",""dividend"":""1.69"",""div paydate"":""5\/11\/2017"",""div yield"":""16.41"",""eps"":""1.02""}",1.02,1.656862745098,26443.43608199
NAT,"Nordic American Tankers Limited",https://www.nyse.com/quote/XNYS:NAT,N/A,13.42,"{""url"":""http:\/\/download.finance.yahoo.com\/d\/quotes.csv?s=NAT&f=opdr1ye&e=.csv"",""open"":""6.37"",""close"":""6.36"",""dividend"":""N\/A"",""div paydate"":""6\/8\/2017"",""div yield"":""13.42"",""eps"":0}",0,-1,0
